,no,lat,lng,cluster,order
0,1,3.108459,101.671521,14,0
1,2,3.166217,101.64277,11,0
2,3,3.05843,101.67498,5,0
3,4,3.146544,101.706784,13,0
4,5,3.072845,101.700153,8,0
5,6,3.152029,101.738007,3,0
6,7,3.152173,101.712648,9,0
7,8,3.151061,101.663871,15,0
8,9,3.083242,101.67733,12,0
9,10,3.141341,101.663463,15,0
10,11,3.105678,101.694635,6,0
11,12,3.064236,101.664215,1,0
12,13,3.121171,101.717927,13,0
13,14,3.067502,101.692019,8,0
14,15,3.065109,101.646264,1,0
15,16,3.052501,101.67963,5,0
16,17,3.083912,101.661227,12,0
17,18,3.061046,101.677518,5,0
18,19,3.130041,101.750234,7,0
19,20,3.127796,101.750368,7,0
20,21,3.097377,101.682947,6,0
21,22,3.059759,101.711576,8,0
22,23,3.113464,101.664441,4,0
23,24,3.166831,101.703221,0,0
24,25,3.130771,101.74995,7,0
25,26,3.079034,101.686231,8,0
26,27,3.09524,101.674533,6,0
27,28,3.147968,101.742444,3,0
28,29,3.083465,101.668318,12,0
29,30,3.166831,101.703221,0,0
30,31,3.064137,101.705314,8,0
31,32,3.05529,101.668951,5,0
32,33,3.059871,101.673234,5,0
33,34,3.066191,101.690774,8,0
34,35,3.149281,101.735996,3,0
35,36,3.108877,101.670076,14,0
36,37,3.067579,101.668615,1,0
37,38,3.091358,101.690905,6,0
38,39,3.096117,101.685107,6,0
39,40,3.053626,101.676376,5,0
40,41,3.094978,101.674041,6,0
41,42,3.130041,101.750234,7,0
42,43,3.106509,101.668296,4,0
43,44,3.084951,101.671428,12,0
44,45,3.148252,101.702792,10,0
45,46,3.095703,101.683532,6,0
46,47,3.133536,101.742809,7,0
47,48,3.05843,101.67498,5,0
48,49,3.104909,101.668287,4,0
49,50,3.065987,101.709171,8,0
50,51,3.126,101.72151,13,0
51,52,3.148161,101.737342,3,0
52,53,3.067579,101.668615,1,0
53,54,3.141141,101.737405,3,0
54,55,3.051348,101.687594,5,0
55,56,3.085869,101.674712,12,0
56,57,3.158705,101.713661,9,0
57,58,3.133195,101.707532,13,0
58,59,3.104958,101.668967,14,0
59,60,3.134903,101.727168,13,0
60,61,3.170908,101.697773,0,0
61,62,3.053154,101.717761,8,0
62,63,3.090859,101.670874,12,0
63,64,3.072154,101.662664,1,0
64,65,3.120351,101.681775,10,0
65,66,3.051348,101.687594,5,0
66,67,3.154326,101.736773,3,0
67,68,3.109488,101.671171,14,0
68,69,3.147903,101.718736,9,0
69,70,3.131597,101.754116,7,0
70,71,3.149493,101.713961,9,0
71,72,3.168074,101.693663,0,0
72,73,3.106509,101.668296,4,0
73,74,3.13553,101.70696,13,0
74,75,3.158191,101.725983,9,0
75,76,3.157863,101.717783,9,0
76,77,3.149417,101.737107,3,0
77,78,3.129281,101.708995,13,0
78,79,3.113464,101.664441,4,0
79,80,3.164323,101.692679,0,0
80,81,3.128086,101.75715,7,0
81,82,3.129303,101.747355,7,0
82,83,3.132004,101.764826,7,0
83,84,3.160603,101.724738,9,0
84,85,3.126958,101.724616,13,0
85,86,3.133894,101.708164,13,0
86,87,3.113885,101.678845,14,0
87,88,3.13478,101.756574,7,0
88,89,3.169135,101.655629,2,0
89,90,3.146734,101.741441,3,0
90,91,3.109443,101.663845,4,0
91,92,3.06848,101.657397,1,0
92,93,3.126958,101.724616,13,0
93,94,3.156143,101.698036,0,0
94,95,3.119822,101.685949,10,0
95,96,3.105652,101.677087,14,0
96,97,3.157907,101.721383,9,0
97,98,3.073447,101.682626,8,0
98,99,3.074967,101.68427,8,0
99,100,3.131667,101.764532,7,0
100,101,3.065727,101.683379,5,0
101,102,3.152029,101.738007,3,0
102,103,3.103632,101.665248,4,0
103,104,3.145166,101.713018,13,0
104,105,3.169759,101.702763,0,0
105,106,3.164297,101.694947,0,0
106,107,3.144795,101.704349,10,0
107,108,3.088259,101.686607,6,0
108,109,3.154544,101.709009,9,0
109,110,3.102885,101.661958,4,0
110,111,3.151231,101.714451,9,0
111,112,3.063829,101.667717,1,0
112,113,3.153416,101.706736,9,0
113,114,3.149679,101.749218,3,0
114,115,3.172067,101.663161,2,0
115,116,3.170984,101.665914,2,0
116,117,3.105798,101.666086,4,0
117,118,3.053693,101.670463,5,0
118,119,3.149493,101.713961,9,0
119,120,3.12653,101.711896,13,0
120,121,3.105798,101.666086,4,0
121,122,3.16922,101.654854,2,0
122,123,3.173857,101.656052,2,0
123,124,3.089959,101.674861,12,0
124,125,3.076802,101.664941,12,0
125,126,3.056255,101.666065,5,0
126,127,3.072557,101.67305,12,0
127,128,3.06448,101.665882,1,0
128,129,3.162008,101.653232,11,0
129,130,3.10822,101.665804,4,0
130,131,3.129303,101.747355,7,0
131,132,3.093203,101.685148,6,0
132,133,3.131132,101.748192,7,0
133,134,3.064348,101.697051,8,0
134,135,3.079125,101.682753,12,0
135,136,3.072124,101.65719,1,0
136,137,3.106509,101.668296,4,0
137,138,3.153032,101.71458,9,0
138,139,3.168533,101.71008,0,0
139,140,3.099493,101.689334,6,0
140,141,3.153032,101.71458,9,0
141,142,3.056163,101.670183,5,0
142,143,3.117046,101.681084,14,0
143,144,3.064629,101.696061,8,0
144,145,3.063331,101.670035,1,0
145,146,3.088259,101.686607,6,0
146,147,3.068284,101.663025,1,0
147,148,3.060025,101.680202,5,0
148,149,3.058685,101.713534,8,0
149,150,3.152029,101.738007,3,0
150,151,3.063331,101.670035,1,0
151,152,3.125193,101.708642,13,0
152,153,3.128918,101.677071,10,0
153,154,3.124363,101.670409,10,0
154,155,3.099274,101.686031,6,0
155,156,3.06996,101.663094,1,0
156,157,3.131553,101.755034,7,0
157,158,3.139042,101.660873,15,0
158,159,3.173112,101.694565,0,0
159,160,3.108874,101.678099,14,0
160,161,3.121286,101.686241,10,0
161,162,3.154294,101.698303,0,0
162,163,3.111316,101.684869,14,0
163,164,3.066598,101.712748,8,0
164,165,3.13988,101.668386,15,0
165,166,3.064326,101.685735,8,0
166,167,3.105763,101.694701,6,0
167,168,3.109443,101.663845,4,0
168,169,3.082689,101.661855,12,0
